Fuel Type,Energy Generation,Energy Units,Location,Period
biomass,10.75141,thousand megawatthours,CO,2023-01
wood and wood wastes,3.923,thousand megawatthours,CO,2023-01
onshore wind turbine,1283.14071,thousand megawatthours,CO,2023-01
wind,1283.14071,thousand megawatthours,CO,2023-01
renewable waste products,6.82841,thousand megawatthours,CO,2023-01
estimated total solar,232.65411,thousand megawatthours,CO,2023-01
estimated total solar photovoltaic,232.65411,thousand megawatthours,CO,2023-01
solar,137.59347,thousand megawatthours,CO,2023-01
solar photovoltaic,137.59347,thousand megawatthours,CO,2023-01
renewable,1557.10804,thousand megawatthours,CO,2023-01
estimated small scale solar photovoltaic,95.06064,thousand megawatthours,CO,2023-01
biomass,11.45862,thousand megawatthours,CO,2022-12
wood and wood wastes,4.821,thousand megawatthours,CO,2022-12
onshore wind turbine,1564.26037,thousand megawatthours,CO,2022-12
wind,1564.26037,thousand megawatthours,CO,2022-12
renewable waste products,6.63762,thousand megawatthours,CO,2022-12
estimated total solar,230.51486,thousand megawatthours,CO,2022-12
estimated total solar photovoltaic,230.51486,thousand megawatthours,CO,2022-12
solar,141.57415,thousand megawatthours,CO,2022-12
solar photovoltaic,141.57415,thousand megawatthours,CO,2022-12
renewable,1821.28655,thousand megawatthours,CO,2022-12
estimated small scale solar photovoltaic,88.94071,thousand megawatthours,CO,2022-12
biomass,13.11873,thousand megawatthours,CO,2022-11
estimated small scale solar photovoltaic,96.75793,thousand megawatthours,CO,2022-11
wood and wood wastes,7.285,thousand megawatthours,CO,2022-11
onshore wind turbine,1520.08394,thousand megawatthours,CO,2022-11
wind,1520.08394,thousand megawatthours,CO,2022-11
renewable waste products,5.83373,thousand megawatthours,CO,2022-11
estimated total solar,234.62883,thousand megawatthours,CO,2022-11
estimated total solar photovoltaic,234.62883,thousand megawatthours,CO,2022-11
solar,137.8709,thousand megawatthours,CO,2022-11
solar photovoltaic,137.8709,thousand megawatthours,CO,2022-11
renewable,1771.1539,thousand megawatthours,CO,2022-11
biomass,14.78222,thousand megawatthours,CO,2022-10
wood and wood wastes,8.468,thousand megawatthours,CO,2022-10
onshore wind turbine,1040.40579,thousand megawatthours,CO,2022-10
wind,1040.40579,thousand megawatthours,CO,2022-10
renewable waste products,6.31422,thousand megawatthours,CO,2022-10
estimated total solar,307.88382,thousand megawatthours,CO,2022-10
